Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Armando Bacot,F,29,28,22.7,4.7,7.5,.628,0.0,0.0,.000,4.7,7.5,.631,.628,2.9,4.4,.661,3.2,4.7,7.8,0.8,0.7,0.9,1.4,2.2,12.3,,armando-bacot-1
2,Caleb Love,G,29,26,27.7,3.6,11.3,.316,1.2,4.4,.266,2.4,6.9,.348,.368,2.2,2.7,.808,0.4,2.2,2.6,3.6,1.2,0.3,3.1,2.1,10.5,,caleb-love-1
3,Garrison Brooks,F,28,25,28.0,4.0,8.5,.469,0.1,0.3,.500,3.9,8.3,.468,.477,2.0,3.3,.609,2.3,4.6,6.9,1.4,0.7,0.8,1.6,2.7,10.1,,garrison-brooks-1
4,Day'Ron Sharpe,F,29,4,19.2,3.9,7.4,.519,0.0,0.1,.000,3.9,7.4,.523,.519,1.8,3.5,.505,3.3,4.2,7.6,1.4,0.8,0.9,2.0,2.0,9.5,,dayron-sharpe-1
5,RJ Davis,G,29,10,22.3,2.7,7.8,.350,1.1,3.4,.323,1.6,4.4,.370,.420,1.9,2.3,.821,0.4,1.9,2.3,1.9,0.7,0.1,1.9,1.5,8.4,,rj-davis-1
6,Kerwin Walton,G,29,20,21.0,2.7,6.1,.444,2.0,4.8,.420,0.7,1.4,.525,.607,0.7,0.9,.840,0.3,1.4,1.7,1.8,0.5,0.2,1.2,1.0,8.2,,kerwin-walton-1
7,Leaky Black,G,29,28,27.6,2.0,5.4,.367,0.3,1.6,.222,1.7,3.9,.425,.399,1.2,1.8,.692,1.3,3.6,4.9,2.4,1.2,0.3,1.3,1.9,5.6,,rechon-black-1
8,Walker Kessler,F,29,0,8.8,1.8,3.1,.578,0.0,0.1,.250,1.8,3.0,.593,.583,0.8,1.4,.537,1.6,1.7,3.2,0.3,0.5,0.9,0.6,1.2,4.4,,walker-kessler-1
9,Andrew Platek,G,29,2,13.1,1.3,3.2,.394,0.6,1.9,.327,0.7,1.3,.487,.489,0.5,0.6,.833,0.7,0.9,1.7,0.9,0.4,0.2,0.8,1.1,3.7,,andrew-platek-1
10,Anthony Harris,G,16,0,11.0,1.2,2.7,.442,0.3,1.0,.250,0.9,1.7,.556,.488,0.6,1.1,.529,0.4,0.6,1.0,1.3,0.6,0.0,0.7,1.3,3.2,,anthony-harris-10
11,Puff Johnson,G,14,0,4.1,0.4,1.0,.429,0.1,0.6,.111,0.4,0.4,1.000,.464,0.1,0.1,1.000,0.1,0.4,0.5,0.1,0.1,0.1,0.1,0.4,1.1,,puff-johnson-1
12,Creighton Lebo,G,7,0,1.6,0.4,0.6,.750,0.0,0.1,.000,0.4,0.4,1.000,.750,0.0,0.0,,0.1,0.1,0.3,0.0,0.0,0.0,0.1,0.0,0.9,,creighton-lebo-1
13,Sterling Manley,F,3,0,1.3,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.7,,sterling-manley-1
14,Walker Miller,F,7,1,2.6,0.1,0.4,.333,0.0,0.0,,0.1,0.4,.333,.333,0.3,0.3,1.000,0.1,0.3,0.4,0.0,0.0,0.1,0.1,0.4,0.6,,walker-miller-1
15,K.J. Smith,G,9,1,2.3,0.1,0.7,.167,0.0,0.1,.000,0.1,0.6,.200,.167,0.1,0.2,.500,0.0,0.6,0.6,0.0,0.0,0.0,0.1,0.1,0.3,,kj-smith-1
16,Duwe Farris,F,6,0,1.7,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.2,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,duwe-farris-1
17,Ryan McAdoo,F,9,0,1.8,0.0,0.4,.000,0.0,0.2,.000,0.0,0.2,.000,.000,0.0,0.0,,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,,ryan-mcadoo-1
,Team Totals,,29,,40.0,27.6,63.0,.439,5.6,17.6,.318,22.0,45.4,.485,.483,14.4,21.5,.668,15.7,27.2,42.8,15.3,7.0,4.7,14.6,16.8,75.2,,-9999
