Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Caleb Love,G,33,32,35.7,5.7,15.1,.378,2.2,7.4,.299,3.5,7.7,.455,.452,3.1,4.0,.765,0.4,3.3,3.7,2.8,1.1,0.2,2.4,1.8,16.7,,caleb-love-1
2,RJ Davis,G,33,32,34.9,5.4,12.4,.438,1.9,5.3,.362,3.5,7.1,.494,.515,3.4,3.8,.881,0.6,4.5,5.1,3.2,1.1,0.1,1.9,2.9,16.1,,rj-davis-1
3,Armando Bacot,F,32,32,30.3,5.8,10.4,.554,0.0,0.2,.000,5.8,10.3,.564,.554,4.3,6.5,.665,4.2,6.3,10.4,1.4,0.6,1.0,2.2,2.9,15.9,AP-AA-1,armando-bacot-1
4,Pete Nance,F,30,30,30.1,3.3,7.7,.422,1.1,3.3,.320,2.2,4.4,.500,.491,2.4,2.9,.816,1.2,4.8,6.0,1.7,0.3,1.1,1.7,2.3,10.0,,pete-nance-1
5,Leaky Black,G,33,33,32.1,2.6,6.3,.411,0.8,2.6,.326,1.8,3.7,.472,.478,1.2,1.7,.702,1.8,4.8,6.5,1.5,1.3,0.8,0.9,2.1,7.3,,rechon-black-1
6,Puff Johnson,G,27,2,16.0,1.3,3.4,.387,0.5,1.7,.283,0.9,1.7,.489,.457,0.9,1.4,.658,1.1,1.6,2.7,0.4,0.6,0.0,0.3,2.0,4.1,,puff-johnson-1
7,D'Marco Dunn,G,27,0,10.2,1.0,2.4,.424,0.4,1.4,.324,0.6,1.1,.552,.515,0.2,0.4,.600,0.3,0.5,0.7,0.2,0.3,0.2,0.2,1.1,2.7,,dmarco-dunn-1
8,Jalen Washington,F,20,0,5.7,0.8,1.8,.457,0.0,0.4,.000,0.8,1.4,.571,.457,0.6,0.9,.647,0.2,1.2,1.4,0.1,0.1,0.1,0.4,0.8,2.2,,jalen-washington-1
9,Tyler Nickel,F,25,0,6.0,0.6,1.6,.375,0.2,1.1,.222,0.4,0.5,.692,.450,0.6,0.8,.842,0.4,0.3,0.6,0.3,0.1,0.1,0.1,0.4,2.1,,tyler-nickel-1
10,Seth Trimble,G,33,2,9.8,0.6,1.3,.455,0.0,0.2,.167,0.6,1.2,.500,.466,0.5,0.9,.548,0.1,0.7,0.8,0.6,0.2,0.3,0.6,1.2,1.8,,seth-trimble-1
11,Justin McKoy,F,11,1,5.4,0.5,1.2,.462,0.2,0.5,.333,0.4,0.6,.571,.538,0.5,0.5,1.000,0.3,0.9,1.2,0.1,0.0,0.4,0.2,0.2,1.7,,justin-mckoy-1
12,Dontrez Styles,G,15,0,5.9,0.5,1.3,.368,0.2,0.6,.333,0.3,0.7,.400,.447,0.3,0.4,.667,0.3,0.7,0.9,0.1,0.1,0.1,0.3,0.5,1.4,,dontrez-styles-1
13,Jackson Watkins,G,4,1,0.8,0.3,0.3,1.000,0.3,0.3,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.8,,jackson-watkins-1
14,Will Shaver,F,3,0,2.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.7,0.7,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.7,0.7,,will-shaver-1
15,Creighton Lebo,G,3,0,1.0,0.3,1.0,.333,0.0,0.3,.000,0.3,0.7,.500,.333,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.7,,creighton-lebo-1
16,Rob Landry,G,3,0,1.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,rob-landry-1
17,Duwe Farris,F,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,duwe-farris-1
18,Beau Maye,F,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,beau-maye-1
,Team Totals,,33,,40.8,26.2,60.5,.434,7.1,22.8,.312,19.2,37.8,.507,.492,16.6,22.4,.742,11.2,28.3,39.5,12.0,5.4,3.9,10.8,16.8,76.2,,-9999
