Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Cole Anthony,G,22,20,34.9,6.0,15.7,.380,2.2,6.4,.348,3.7,9.3,.402,.451,4.4,5.8,.750,0.5,5.2,5.7,4.0,1.3,0.3,3.5,2.9,18.5,,cole-anthony-1
2,Garrison Brooks,F,32,31,34.9,6.5,12.1,.535,0.1,0.2,.286,6.4,11.9,.539,.537,3.8,6.0,.641,3.2,5.3,8.5,2.0,0.5,0.5,2.1,2.6,16.8,,garrison-brooks-1
3,Brandon Robinson,G,24,23,30.2,3.9,9.4,.413,2.5,6.7,.369,1.4,2.7,.523,.544,1.6,1.9,.826,0.9,2.3,3.2,2.4,1.0,0.4,1.6,2.8,11.8,,brandon-robinson-2
4,Armando Bacot,F,32,32,24.5,3.6,7.6,.469,0.0,0.0,,3.6,7.6,.469,.469,2.5,3.9,.645,2.8,5.5,8.3,1.2,0.5,1.1,1.7,2.5,9.6,,armando-bacot-1
5,Anthony Harris,G,5,0,12.0,2.4,4.4,.545,0.6,1.4,.429,1.8,3.0,.600,.614,1.4,1.6,.875,0.6,0.4,1.0,0.6,0.8,0.0,0.4,1.2,6.8,,anthony-harris-10
6,Leaky Black,G,32,31,29.7,2.5,7.0,.359,0.5,2.0,.254,2.0,5.0,.400,.395,1.0,1.4,.696,1.4,3.6,5.0,2.6,1.3,0.8,1.8,2.2,6.5,,rechon-black-1
7,Christian Keeling,G,33,9,19.2,2.6,6.1,.428,0.5,1.5,.320,2.1,4.6,.464,.468,0.7,1.0,.750,0.8,2.0,2.8,0.6,0.5,0.2,1.1,1.6,6.4,,christian-keeling-1
8,Justin Pierce,F,32,2,18.4,1.9,5.2,.373,0.5,2.2,.225,1.4,3.0,.484,.422,0.6,1.1,.543,1.8,2.3,4.0,0.9,0.4,0.3,0.8,1.7,5.0,,justin-pierce-1
9,Andrew Platek,G,31,9,18.1,1.5,4.0,.366,0.4,1.8,.228,1.0,2.1,.485,.419,0.6,1.0,.600,0.7,1.4,2.1,1.4,0.3,0.1,0.6,0.8,3.9,,andrew-platek-1
10,Jeremiah Francis,G,16,3,13.6,0.9,4.1,.227,0.3,1.3,.200,0.7,2.9,.239,.258,1.1,1.6,.692,0.1,1.2,1.3,1.6,0.4,0.0,1.2,1.1,3.3,,jeremiah-francis-1
11,Brandon Huffman,F,14,0,3.7,0.6,0.9,.667,0.0,0.0,,0.6,0.9,.667,.667,0.1,0.4,.400,0.5,0.4,0.9,0.0,0.0,0.2,0.1,0.6,1.3,,brandon-huffman-1
12,K.J. Smith,G,20,3,6.2,0.3,1.0,.250,0.1,0.5,.100,0.2,0.5,.400,.275,0.4,0.4,.875,0.1,0.6,0.7,0.8,0.3,0.0,0.5,0.4,0.9,,kj-smith-1
13,Shea Rush,F,14,1,1.7,0.1,0.6,.222,0.1,0.6,.250,0.0,0.1,.000,.333,0.1,0.2,.667,0.1,0.2,0.3,0.0,0.0,0.1,0.3,0.1,0.6,,shea-rush-1
14,Walker Miller,F,23,0,2.7,0.2,0.4,.400,0.0,0.0,,0.2,0.4,.400,.400,0.1,0.2,.750,0.2,0.4,0.6,0.1,0.0,0.0,0.2,0.3,0.5,,walker-miller-1
15,Caleb Ellis,G,10,0,1.2,0.1,0.3,.333,0.0,0.1,.000,0.1,0.2,.500,.333,0.0,0.0,,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.2,,caleb-ellis-1
16,Ryan McAdoo,F,9,0,1.3,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.1,0.2,.500,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.1,,ryan-mcadoo-1
17,Robbie O'Han,G,11,1,1.1,0.0,0.1,.000,0.0,0.0,,0.0,0.1,.000,.000,0.0,0.0,,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,,robbie-ohan-1
,Team Totals,,33,,40.6,26.2,62.4,.420,5.5,18.0,.304,20.7,44.3,.468,.464,14.2,20.9,.682,13.8,28.1,41.9,14.3,5.5,3.5,12.9,16.7,72.2,,-9999
