Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,RJ Davis,G,37,37,34.8,7.0,16.4,.428,3.1,7.7,.398,4.0,8.7,.455,.521,4.1,4.7,.873,0.5,3.1,3.6,3.5,1.2,0.2,1.5,1.8,21.2,AA-1AP-AA-1,rj-davis-1
2,Armando Bacot,F,37,37,30.4,5.2,9.7,.540,0.1,0.3,.400,5.1,9.4,.544,.546,3.9,5.1,.781,3.2,7.1,10.3,1.5,0.6,1.5,1.6,2.7,14.5,,armando-bacot-1
3,Harrison Ingram,F,37,36,32.8,4.4,10.2,.430,1.8,4.6,.385,2.6,5.7,.467,.516,1.6,2.6,.612,2.6,6.2,8.8,2.2,1.4,0.4,1.4,1.9,12.2,,harrison-ingram-1
4,Cormac Ryan,G,36,34,30.3,3.6,9.3,.382,2.1,5.9,.354,1.5,3.4,.431,.494,2.3,2.6,.874,0.6,2.3,2.8,1.2,0.7,0.4,1.2,2.4,11.5,,cormac-ryan-1
5,Elliot Cadeau,G,37,31,23.8,2.7,6.5,.417,0.3,1.4,.189,2.5,5.1,.481,.438,1.6,2.5,.648,0.6,1.6,2.2,4.1,0.8,0.1,1.8,2.3,7.3,,elliot-cadeau-1
6,Seth Trimble,G,35,1,17.1,1.8,3.8,.470,0.4,0.9,.419,1.4,2.9,.485,.519,1.3,1.9,.667,0.5,1.6,2.1,0.9,0.4,0.2,0.6,1.2,5.2,,seth-trimble-1
7,Jae'lyn Withers,F,37,3,12.4,1.4,2.7,.535,0.1,0.5,.200,1.3,2.1,.620,.556,1.2,1.6,.780,1.0,2.6,3.6,0.6,0.4,0.5,0.7,1.4,4.2,,jaelyn-withers-1
8,Jalen Washington,F,37,0,8.3,1.5,2.1,.701,0.2,0.4,.533,1.2,1.7,.742,.753,0.7,1.1,.643,0.9,1.7,2.6,0.2,0.1,0.6,0.4,1.4,3.9,,jalen-washington-1
9,Paxson Wojcik,G,32,3,8.3,0.5,1.5,.340,0.2,0.9,.233,0.3,0.5,.529,.415,0.4,0.5,.706,0.4,0.6,1.0,0.4,0.1,0.0,0.3,0.8,1.6,,paxson-wojcik-1
10,Rob Landry,G,7,1,2.0,0.4,0.7,.600,0.3,0.4,.667,0.1,0.3,.500,.800,0.0,0.0,,0.1,0.4,0.6,0.0,0.0,0.0,0.0,0.0,1.1,,rob-landry-1
11,James Okonkwo,F,15,0,2.9,0.3,0.6,.556,0.0,0.0,,0.3,0.6,.556,.556,0.3,0.3,1.000,0.5,0.5,1.0,0.0,0.0,0.3,0.2,0.5,1.0,,james-okonkwo-1
12,Zayden High,F,23,0,4.5,0.3,0.8,.316,0.0,0.3,.000,0.3,0.5,.545,.316,0.3,0.4,.667,0.4,0.7,1.1,0.1,0.2,0.1,0.4,1.0,0.8,,zayden-high-2
13,Duwe Farris,F,8,1,1.8,0.1,0.5,.250,0.0,0.0,,0.1,0.5,.250,.250,0.0,0.0,,0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.3,,duwe-farris-1
14,Creighton Lebo,G,9,1,2.4,0.0,1.0,.000,0.0,0.4,.000,0.0,0.6,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.2,0.0,0.0,0.2,0.0,,creighton-lebo-1
,Team Totals,,37,,40.1,28.3,62.8,.450,8.1,22.7,.359,20.1,40.1,.502,.515,17.3,22.8,.759,12.2,28.9,41.1,14.5,5.8,4.1,10.1,16.5,81.9,,-9999
